Well,BHG,PF Pres,PF Rate
MPB-28,MPU_PI_20328,MPU_PI_20528,MPU_FI_20128
MPB-30,MPU_PI_20330,MPU_PI_20530,MPU_FI_20130
MPB-32,MPU_PI_20732,MPU_PI_20532,MPU_FI_20132
MPB-35,MPU_PI_20735,MPU_PI_20535,MPU_FI_20135
MPB-37,MPU_PI_20737,MPU_PI_20537,MPU_FI_20137
MPB-39,MPU_PI_20739,MPU_PI_20539,MPU_FI_20139
MPJ-27,MPU_PI_33727,MPU_PI_33527,MPU_FI_33127
MPH-16,MPU_PI_31716,MPU_PI_31516,MPU_FI_31116
MPH-19,MPU_PI_31719,MPU_PI_31519,MPU_FI_31119
MPG-16,MPU_PI_30716,MPU_PI_30516,MPU_FI_30116
MPG-18,MPU_PI_30718,MPU_PI_30518,MPU_FI_30118
