,Well,Median Slope,Median Intercept,Mean Slope,Mean Intercept
0,MPF-01,1.0010646232616311,-266.71953339787893,0.9493161215966931,-242.5793628934297
1,MPF-05,0.18613477684017554,147.4946176625323,0.2799681301227601,71.3821312066696
2,MPF-06,1.8097082099310389,-1170.5829315898932,1.7353308206060716,-1109.5745666168589
3,MPF-09,0.7943849196355275,-97.17378188536821,0.8799215425665198,-140.4609733954872
4,MPF-107,0.3555077851511945,85.35400952813072,0.49380338466643586,-25.14234504270475
5,MPF-109,0.7850873889479215,-103.54898605680513,1.4391703218486167,-465.93388899623267
6,MPF-116,1.7383896933657907,-951.8548637912922,1.6836003809301248,-900.4135473241341
7,MPF-14,0.9882003302702107,-123.65237999338382,1.0442636938829706,-154.03257045501783
8,MPF-25,0.4345937499190842,41.8013778139229,0.48685010951155,8.285861527258259
9,MPF-29,0.08777151745327809,292.49139465831166,0.12731852520030845,277.02424129011587
10,MPF-34,1.1353757910136868,-370.6499349430284,0.9850635921713887,-249.31660670612104
11,MPF-50,0.25334916176876654,195.3664326713432,0.41340512686222525,112.22763232979163
12,MPF-54,0.34511740490137666,110.46712098941123,0.49500250330643536,30.78654686395228
13,MPF-61,0.4498984467177301,94.78938290466675,0.5367599560633901,47.995643300408375
14,MPF-62,0.24890035707403718,211.970553723519,0.3261766165551192,171.3269336096661
15,MPF-66,-0.15118594542325098,428.402418292083,4.2001160864087606,-7791.6148474847
16,MPF-73,-0.06902695335923559,368.07075579385764,-0.08093493887333794,373.10228358793
17,MPF-78,0.42450787550740127,124.21056029883027,0.6037190424267588,30.949824012010588
18,MPF-86,1.6650820728693692,-601.4539350593227,1.606597592827359,-567.2389744859067
19,MPF-93,1.8546058305541844,-1018.332284087627,1.9910082478469069,-1159.7601632401306
20,MPF-94,0.17258995597238985,249.24723312545524,0.252154331236596,212.8063313864331
21,MPF-96,0.29539317471600823,196.88549653959717,0.41158201916558085,142.38735119421227
22,MPL-01,1.0915001359175343,-283.8176529617974,1.0640518364614446,-251.65263533487317
23,MPL-02,0.9635592865949805,-119.04456899363922,1.0813564174390597,-201.96804667859706
24,MPL-03,1.3808565051223085,-1078.3903819419793,1.2581827729649668,-948.602874407162
25,MPL-04,0.3064845527246844,139.52313269487337,0.4290718500830093,65.52153698636016
26,MPL-06,0.1467514140608371,-481.450170202423,-0.08780299103068195,332.680871720851
27,MPL-07,0.9631152791639492,-365.0295540777866,0.9631152791639492,-365.0295540777866
28,MPL-13,0.06018445460324244,289.0537350083126,0.1350459484142786,254.1966789471834
29,MPL-14,0.676520679089873,-56.75602363179712,0.6237577950499796,-24.430914142000745
30,MPL-29,0.40775407264560903,25.740288605237748,0.15914219861385379,61.24370909631003
31,MPL-36,0.8473724747708404,-328.9066176476374,0.8234770722080037,-308.44352597003825
32,MPL-39,0.12500339871713634,33.354993010117866,0.3112073901800486,-379.78324674053874
33,MPL-40,0.028518857828813596,304.4062441137319,1.109338442095069,-192.82193546304632
34,MPL-41,0.7287456292170664,-34.79122480200867,0.8277482315194146,-83.17673627473626
35,MPL-46,-0.053730911351548796,345.6422264426061,-0.049482714072770065,344.65337983592815
36,MPL-54,0.04824386185612052,321.60502259755185,0.8389024714238532,-313.0183650799833
37,MPL-56,0.06366426420037996,283.79074088353195,0.9812010086636521,-550.1828840774497
38,MPL-57,-0.0023963011774102193,336.4094036762933,-0.02966427894131025,358.19810149678494
39,MPL-60,0.057318281211159776,313.61894108189153,0.11530189211259902,235.04676477666385
40,MPL-62,0.16769702789851848,258.0931976011327,0.45798006686219983,-43.708490975557446
