,pf_pres,Oil_newest_ipr,Oil_lowest_ipr,Oil_median_ipr
0,1800,1866.2019967149577,1760.6213776285795,1474.153045974029
1,1850,1881.4463112707824,1773.8348055010483,1488.9792519163434
2,1900,1896.544417127289,1786.9118470758401,1503.6457484709072
3,1950,1911.469772589879,1799.8245210732566,1518.1259660206997
4,2000,1926.2148442988353,1812.5872916510316,1532.4269716013903
5,2050,1940.8043547658444,1825.210225215495,1546.5615593210573
6,2100,1955.2359102050068,1837.682325708709,1560.52312791006
7,2150,1969.4817390670942,1849.99443899179,1574.2989331291271
8,2200,1983.562654144606,1862.1632645459256,1587.9016120138972
9,2250,1997.4965141347775,1874.1914468978032,1601.3421696902617
10,2300,2011.246995575559,1886.056247523324,1614.5951364995526
11,2350,2024.8193152635736,1897.7709650671318,1627.665906549426
12,2400,2038.2468399835475,1909.3456578610926,1640.5796612695854
13,2450,2051.4845446687664,1920.7405853424216,1653.2979071754014
14,2500,2064.527878103211,1931.9760618303862,1665.8229436584086
15,2550,2077.432572773882,1943.0790286028998,1678.1958231149656
16,2600,2090.1816111730327,1954.0333133589447,1690.3986256220762
17,2650,2102.7200901103724,1964.8176855965987,1702.394247683408
18,2700,2115.1166673044227,1975.467060535483,1714.2362268030352
19,2750,2127.364890154005,1985.974642374348,1725.915407835781
20,2800,2139.41066385774,1996.3139705535868,1737.3897935510968
21,2850,2151.2991235751692,2006.5097536588412,1748.7008723337947
22,2900,2163.0465308751823,2016.570632580526,1759.8564318921747
23,2950,2174.5971979012706,2026.4628548062396,1770.8081251701947
24,3000,2185.9799415861216,2036.2071079729747,1781.589759707243
25,3050,2197.220410111432,2045.815455701718,1792.2151751153715
26,3100,2208.277957515786,2055.2628489084996,1802.648190707654
27,3150,2219.159121337281,2064.559123477884,1812.9028889233812
28,3200,2229.890994473093,2073.7133631962993,1822.9963954966126
29,3250,2240.4570788705073,2082.717504201535,1832.912498087803
30,3300,2250.835008375362,2091.5643796494696,1842.6392568212116
