,Well,Mean Slope,,
0,MPF-01,0.40,,
1,MPF-05,0.30,,
2,MPF-06,0.74,,
3,MPF-09,0.19,,
4,MPF-107,0.40,,
5,MPF-109,1.23,,
6,MPF-116,1.46,,
7,MPF-14,0.63,,
8,MPF-25,0.32,,
9,MPF-29,0.14,,
10,MPF-34,1.02,,
11,MPF-50,0.41,,
12,MPF-54,0.57,,
13,MPF-61,0.21,,
14,MPF-62,0.21,,
15,MPF-66,12.79,,
16,MPF-73,0.59,,
17,MPF-78,0.59,,
18,MPF-79,0.21,,4.665216405
19,MPF-86,1.52,,
20,MPF-93,1.51,,
21,MPF-94,0.20,,
22,MPF-96,0.32,,
23,MPL-01,0.66,,
24,MPL-02,0.78,,
25,MPL-03,1.35,,
26,MPL-04,0.38,,
27,MPL-06,0.22,,
28,MPL-07,0.45,,
29,MPL-13,0.14,,
30,MPL-14,0.45,,
31,MPL-29,4.58,,
32,MPL-36,0.60,,
33,MPL-39,0.57,,
34,MPL-40,2.84,,
35,MPL-41,0.54,,
36,MPL-46,0.08,,
37,MPL-54,1.79,,
38,MPL-56,1.15,,
39,MPL-57,0.05,,
40,MPL-60,0.24,,
41,MPL-62,0.81,,
